Id,Label,timeset,v_name,eigencentrality,componentnumber,pageranks,modularity_class,Authority,Hub,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Weighted Degree,Degree
n205,n205,,RBPJ,0.024953,0,0.000794,8,0.003828,0.003828,3,0.496907,0.500692,0,0.022537,2
n206,n206,,RGS1,0.263234,0,0.00255,8,0.041055,0.041056,3,0.526201,0.551176,0,0.916287,25
n207,n207,,RUNX1,0.037475,0,0.000892,8,0.00572,0.00572,3,0.502083,0.505533,0,0.033157,3
n208,n208,,SCN10A,0.02629,0,0.000814,0,0.003978,0.003978,3,0.50104,0.503458,0,0.011453,2
n209,n209,,SEMA4D,0.143263,0,0.00164,8,0.022274,0.022275,3,0.512766,0.526279,0,0.428886,13
n210,n210,,SIRT1,0.417025,0,0.004156,1,0.065236,0.065236,3,0.551487,0.594744,4.354945,1.853601,46
n211,n211,,SLC2A3,0.070034,0,0.001124,8,0.010805,0.010806,3,0.505241,0.511757,0,0.131239,6
n212,n212,,SOD1,0.219092,0,0.002354,6,0.034123,0.034124,3,0.522777,0.544952,0.737978,0.767186,22
n213,n213,,SOX10,0.02629,0,0.000814,0,0.003978,0.003978,3,0.50104,0.503458,0,0.006239,2
n214,n214,,SP3,0.037226,0,0.00089,8,0.00569,0.00569,3,0.502083,0.505533,0,0.035869,3
n215,n215,,SP140,0.131627,0,0.001575,0,0.020444,0.020444,3,0.511677,0.524205,0,0.477156,12
n216,n216,,SRC,0.083234,0,0.00126,8,0.012922,0.012922,3,0.507368,0.515906,0,0.354049,8
n217,n217,,SRI,0.229247,0,0.002243,8,0.035733,0.035733,3,0.521645,0.542877,0,0.499041,21
n218,n218,,STAT1,0.412847,0,0.003991,8,0.064585,0.064585,2,0.550228,0.591286,2.245504,1.926948,44
n219,n219,,SYK,0.049634,0,0.000972,8,0.007604,0.007604,3,0.503132,0.507607,0,0.049419,4
n220,n220,,SYNE1,0.013126,0,0.000717,8,0.001988,0.001988,3,0.494867,0.497925,0,0.001473,1
n221,n221,,TAP1,0.116452,0,0.001529,5,0.018035,0.018035,3,0.510593,0.52213,0,1.010717,11
n222,n222,,TARDBP,0.066699,0,0.001208,12,0.010288,0.010288,3,0.506303,0.513831,0,0.714483,7
n223,n223,,TLR2,0.367131,0,0.003537,1,0.057361,0.057362,2,0.542793,0.578838,0.963908,1.377881,38
n224,n224,,TNFRSF1A,0.418579,0,0.004215,2,0.065413,0.065414,3,0.551487,0.594744,8.005622,2.652461,46
n225,n225,,TNFSF13B,0.138434,0,0.001652,8,0.021524,0.021524,2,0.513859,0.526971,0,0.473806,13
n226,n226,,TOX,0.181734,0,0.002208,0,0.028252,0.028253,3,0.520518,0.540802,0.187503,2.35634,20
n227,n227,,TRH,0.058593,0,0.001041,8,0.009032,0.009032,3,0.504184,0.509682,0,0.14601,5
